request_id,user,user_text,recipe_title,directions,recipe_servings,recipe_ingredients,timestamp,purchase_result,stores,pdf_links
59f0ee92-fecb-4ce0-9cbd-6aad85973937,TECHNION,burgers under 50 nis,Zesty Burgers,"[""In a bowl, combine the first five ingredients; mix well."", ""Shape into four patties."", ""Place on grill until no longer pink."", ""Serve on buns.""]",1,"[{""name"": ""ground beef or turkey"", ""quantity"": 113.4, ""unit"": ""gram""}, {""name"": ""prepared horseradish"", ""quantity"": 4.93, ""unit"": ""milliliter""}, {""name"": ""dijon mustard"", ""quantity"": 2.46, ""unit"": ""milliliter""}, {""name"": ""paprika"", ""quantity"": 1.23, ""unit"": ""milliliter""}, {""name"": ""pepper"", ""quantity"": 0.31, ""unit"": ""milliliter""}, {""name"": ""hamburger buns"", ""quantity"": 4, ""unit"": ""unit""}]",2025-08-09 16:27:25,,,
09499c0a-29d4-4458-83f1-b43a546b6f36,TECHNION,burgers under 50 nis,Zesty Burgers,"[""In a bowl, combine the first five ingredients; mix well."", ""Shape into four patties."", ""Place on grill until no longer pink."", ""Serve on buns.""]",1,"[{""name"": ""ground beef or turkey"", ""quantity"": 113.4, ""unit"": ""gram""}, {""name"": ""prepared horseradish"", ""quantity"": 4.93, ""unit"": ""milliliter""}, {""name"": ""dijon mustard"", ""quantity"": 2.46, ""unit"": ""milliliter""}, {""name"": ""paprika"", ""quantity"": 1.23, ""unit"": ""milliliter""}, {""name"": ""pepper"", ""quantity"": 0.31, ""unit"": ""milliliter""}, {""name"": ""hamburger buns"", ""quantity"": 4, ""unit"": ""unit""}]",2025-08-09 16:18:40,,,
91edce14-0df6-4cc9-b3ba-1fe0d1611482,TECHNION,burgers under 50 nis,Zesty Burgers,"[""In a bowl, combine the first five ingredients; mix well."", ""Shape into four patties."", ""Place on grill until no longer pink."", ""Serve on buns.""]",1,"[{""name"": ""ground beef or turkey"", ""quantity"": 113.4, ""unit"": ""gram""}, {""name"": ""prepared horseradish"", ""quantity"": 4.93, ""unit"": ""milliliter""}, {""name"": ""dijon mustard"", ""quantity"": 2.46, ""unit"": ""milliliter""}, {""name"": ""paprika"", ""quantity"": 1.23, ""unit"": ""milliliter""}, {""name"": ""pepper"", ""quantity"": 0.31, ""unit"": ""milliliter""}, {""name"": ""hamburger buns"", ""quantity"": 4, ""unit"": ""unit""}]",2025-08-09 16:15:15,,,
fc9795fb-e734-4e8b-96a4-1558fefb6adf,TECHNION,burgers under 20 nis,Zesty Burgers,"[""In a bowl, combine the first five ingredients; mix well."", ""Shape into four patties."", ""Place on grill until no longer pink."", ""Serve on buns.""]",1,"[{""name"": ""ground beef or turkey"", ""quantity"": 113.4, ""unit"": ""gram""}, {""name"": ""prepared horseradish"", ""quantity"": 4.93, ""unit"": ""milliliter""}, {""name"": ""dijon mustard"", ""quantity"": 2.46, ""unit"": ""milliliter""}, {""name"": ""paprika"", ""quantity"": 1.23, ""unit"": ""milliliter""}, {""name"": ""pepper"", ""quantity"": 0.31, ""unit"": ""milliliter""}, {""name"": ""hamburger buns"", ""quantity"": 4, ""unit"": ""unit""}]",2025-08-09 16:13:42,,,
3b4477cc-a7bd-4d01-a5eb-c4dd19e55127,TECHNION,burgers under 15 nis,Zesty Burgers,"[""In a bowl, combine the first five ingredients; mix well."", ""Shape into four patties."", ""Place on grill until no longer pink."", ""Serve on buns.""]",1,"[{""name"": ""ground beef or turkey"", ""quantity"": 113.4, ""unit"": ""gram""}, {""name"": ""prepared horseradish"", ""quantity"": 4.93, ""unit"": ""milliliter""}, {""name"": ""dijon mustard"", ""quantity"": 2.46, ""unit"": ""milliliter""}, {""name"": ""paprika"", ""quantity"": 1.23, ""unit"": ""milliliter""}, {""name"": ""pepper"", ""quantity"": 0.31, ""unit"": ""milliliter""}, {""name"": ""hamburger buns"", ""quantity"": 4, ""unit"": ""unit""}]",2025-08-09 16:12:38,,,
bbb7cdf3-47a9-4c85-b15d-f4793d2fbba0,TECHNION,burgers under 15 nis,Zesty Burgers,"[""In a bowl, combine the first five ingredients; mix well."", ""Shape into four patties."", ""Place on grill until no longer pink."", ""Serve on buns.""]",1,"[{""name"": ""ground beef"", ""quantity"": 113.4, ""unit"": ""gram""}, {""name"": ""prepared horseradish"", ""quantity"": 4.93, ""unit"": ""milliliter""}, {""name"": ""dijon mustard"", ""quantity"": 2.46, ""unit"": ""milliliter""}, {""name"": ""paprika"", ""quantity"": 1.23, ""unit"": ""milliliter""}, {""name"": ""pepper"", ""quantity"": 0.31, ""unit"": ""milliliter""}, {""name"": ""hamburger buns"", ""quantity"": 4, ""unit"": ""unit""}]",2025-08-09 16:10:15,,,
54fa9eae-5dd7-4816-a1e7-c30da2c24053,TECHNION,burgers under 1 nis,Zesty Burgers,"[""In a bowl, combine the first five ingredients; mix well."", ""Shape into four patties."", ""Place on grill until no longer pink."", ""Serve on buns.""]",1,"[{""name"": ""ground beef or turkey"", ""quantity"": 113.4, ""unit"": ""gram""}, {""name"": ""prepared horseradish"", ""quantity"": 4.93, ""unit"": ""milliliter""}, {""name"": ""dijon mustard"", ""quantity"": 2.46, ""unit"": ""milliliter""}, {""name"": ""paprika"", ""quantity"": 1.23, ""unit"": ""milliliter""}, {""name"": ""pepper"", ""quantity"": 0.31, ""unit"": ""milliliter""}, {""name"": ""hamburger buns"", ""quantity"": 4, ""unit"": ""unit""}]",2025-08-09 15:59:31,,,
4fd320a1-29f8-449e-9647-0e742710da00,TECHNION,burgers under 1 nis,Zesty Burgers,"[""In a bowl, combine the first five ingredients; mix well."", ""Shape into four patties."", ""Place on grill until no longer pink."", ""Serve on buns.""]",1,"[{""name"": ""ground beef or turkey"", ""quantity"": 113.4, ""unit"": ""gram""}, {""name"": ""prepared horseradish"", ""quantity"": 4.93, ""unit"": ""milliliter""}, {""name"": ""dijon mustard"", ""quantity"": 2.46, ""unit"": ""milliliter""}, {""name"": ""paprika"", ""quantity"": 1.23, ""unit"": ""milliliter""}, {""name"": ""pepper"", ""quantity"": 0.31, ""unit"": ""milliliter""}, {""name"": ""hamburger buns"", ""quantity"": 4, ""unit"": ""unit""}]",2025-08-09 15:53:19,,,
2cc686cf-f24b-4e59-9678-bfda236d7a05,TECHNION,burgers under 10 nis,Zesty Burgers,"[""In a bowl, combine the first five ingredients; mix well."", ""Shape into four patties."", ""Place on grill until no longer pink."", ""Serve on buns.""]",1,"[{""name"": ""ground beef or turkey"", ""quantity"": 113.4, ""unit"": ""gram""}, {""name"": ""prepared horseradish"", ""quantity"": 4.93, ""unit"": ""milliliter""}, {""name"": ""dijon mustard"", ""quantity"": 2.46, ""unit"": ""milliliter""}, {""name"": ""paprika"", ""quantity"": 1.23, ""unit"": ""milliliter""}, {""name"": ""pepper"", ""quantity"": 0.31, ""unit"": ""milliliter""}, {""name"": ""hamburger buns"", ""quantity"": 4, ""unit"": ""unit""}]",2025-08-09 15:48:38,,,
,TECHNION,burgers,Zesty Burgers,"[""In a bowl, combine the first five ingredients; mix well."", ""Shape into four patties."", ""Place on grill until no longer pink."", ""Serve on buns.""]",4,"[""1 lb ground beef or 1 lb turkey"", ""4 teaspoons prepared horseradish"", ""2 teaspoons Dijon mustard"", ""1 teaspoon paprika"", ""1/4 teaspoon pepper"", ""4 hamburger buns""]",2025-08-09 15:47:43,Nothing to buy - all ingredients at home,,
